#redshift    t0     t0err     x0      x0err      x1      x1err      c      cerr     chiquad/dof      modelo
0.3001   53669.9   2.45043         13.1256         3.20509      -0.621403       0.205159    -0.646673     0.124704      0.70954   exp
0.3001   53670.1   2.12158        353.772         34.1303       -0.00743345     0.153434    -0.354453     0.0837916     0.76571   expPCA
0.09389  53677.4   0.359668       196.762          2.00023      -0.224413       0.236184    -0.235312     0.00846681   12.7451    salt2
0.09389  53676.4   0.451104       169.17          22.5038       -0.291607       0.123202    -0.692004     0.0683733     9.6164    exp
0.09389  53675.7   0.335047      4207.79          55.0257        0.0599639      0.0293926   -0.242215     0.00814818   10.2273    expPCA
0.1724   53662.2   0.815957        68.8398         3.15222      -0.574925       0.299681    -0.252433     0.0215054     2.41947   salt2
0.1724   53656.9   1.24881         85.6453        10.4501       -1.00402        0.112368    -0.758484     0.0501587     1.47079   exp
0.1724   53660.2   0.644762      1544.83          64.6756        0.114084       0.0357568   -0.358383     0.0253557     2.3933    expPCA
0.34     53641.9   1.75416         14.573          0.846032      1.4094         1.02773     -0.220037     0.039289      1.24638   salt2
0.34     53640.4   2.33507         14.1832         3.28615      -0.671569       0.188879    -0.735014     0.142165      1.29723   exp
0.34     53637.8   3.1234         415.59          49.2212       -0.240127       0.156064    -0.504471     0.116017      1.16527   expPCA
0.08656  53643.4   0.253894       288.087          3.36978       0.863249       0.0979482   -0.258607     0.00795184    9.6613    salt2
0.08656  53644.1   0.181991       422.431         16.1554       -0.907101       0.0309544   -0.936228     0.0224461    13.0021    exp
0.08656  53642.8   0.146569      6184.89          65.2971       -0.0564118      0.00603518  -0.249826     0.00808941   12.7553    expPCA
0.1952   53631.6   1.30002         34.9914         2.41735       0.511564       0.403913    -0.109652     0.0287571     1.78349   salt2
0.1952   53625.4   2.16674         50.0576         8.32551      -1.1457         0.163586    -0.620252     0.0640741     1.47746   exp
0.1952   53630.5   1.21392        763.553         51.0708       -0.0224363      0.0448873   -0.170558     0.0353123     1.74109   expPCA
0.16153  53632.6   1.0592          81.9393         3.77458       1.85758        0.269908    -0.151225     0.0175499     3.38742   salt2
0.16153  53638.4   0.950809        85.8293         8.67017      -1.01037        0.0657722   -0.621898     0.0543179     4.17139   exp
0.16153  53635.5   0.634519      1560.67          44.1025       -0.108378       0.0206383   -0.116252     0.0173824     3.97593   expPCA
0.2654   53636.1   3.12943         24.6907         1.76518       2.12165        1.02351     -0.26201      0.0495098     1.1023    salt2
0.2654   53635     3.23013         30.8241         9.08207      -0.891839       0.154781    -0.797638     0.155146      1.49654   exp
0.2654   53635.7   2.59305        626.632         53.7477       -0.200101       0.0934388   -0.413493     0.0850933     1.38651   expPCA
0.117    53661.8   0.280925       134.295          1.86491       1.98334        0.138815    -0.163271     0.00837848    5.8304    salt2
0.117    53656.3   0.564837       334.471         17.3682       -1.14582        0.0405652   -1.10515      0.0258026     6.56233   exp
0.117    53661.4   0.261946      2975.08          47.4          -0.133665       0.0122504   -0.21505      0.00928313    8.99552   expPCA
0.12462  53673.9   0.382827       108.446          1.22848       1.0315         0.224972    -0.118473     0.00962867    7.20764   salt2
0.12462  53673.6   0.702827       156.178         16.0553       -0.791846       0.0677778   -0.85553      0.0540308     3.51157   exp
0.12462  53672.3   0.34591       2425.1           27.2759       -0.0941803      0.0242079   -0.143801     0.00937195    6.90585   expPCA
0.146    53654.8   0.535173        63.4097         1.93837      -0.495683       0.326966    -0.143669     0.0242149     4.31091   salt2
0.146    53649.5   1.1418         105.162         11.5163       -1.04021        0.0708336   -0.858873     0.0520966     1.83362   exp
0.146    53650.9   0.657418      1444.89          54.9057       -0.0777077      0.0343203   -0.169748     0.0233843     5.29068   expPCA
0.11915  53630.3   0.376539       213.467          3.52769       1.71133        0.142836    -0.262363     0.00873546    5.10173   salt2
0.11915  53624.1   0.812653       377.682         17.6984       -1.11343        0.0479373   -0.887576     0.0331905    11.8525    exp
0.11915  53630.4   0.487297      4577.69         106.045        -0.0471985      0.00979282  -0.295953     0.0105997    10.9553    expPCA
0.2304   53648.1   0.636798        38.2928         1.25622       0.785665       0.375376    -0.239544     0.0258062     2.33558   salt2
0.2304   53647.4   1.18722         39.1683         4.75166      -0.856122       0.124896    -0.699501     0.0601169     1.55618   exp
0.2304   53646.6   0.784451      1033.82          45.5597       -0.176659       0.0514303   -0.479266     0.051362      1.73831   expPCA
0.332    53638.8   1.70002         12.7614         0.644235     -0.138347       1.03992     -0.222012     0.044691      2.23411   salt2
0.332    53622.1   3.71079         34.0399         7.49214      -1.41127        0.262658    -1.18192      0.103538      1.018     exp
0.332    53630.2   3.8976         458.343         71.7991       -0.326741       0.104244    -0.781704     0.134261      1.00946   expPCA
0.288    53637.1   1.42347         16.781          0.683047     -0.714741       0.89264     -0.243859     0.0325634     1.19708   salt2
0.288    53624.6   3.30902         33.5729         8.88542      -1.21057        0.268762    -0.964056     0.0877103     0.471436  exp
0.288    53632.6   2.15428        467.982         42.6699       -0.181415       0.114035    -0.498566     0.0717926     0.491621  expPCA
0.0616   53674.7   0.0958267      828.256          2.30453       4.46842        0.0620317    0.406001     0.00227033  573.713     salt2
0.0616   53680.1   1.73223e-05   6261.62          82.8396       -1.68976        0.0050804   -1.2216       0.00820804  341.118     exp
0.0616   53671.9   0.0454562    24240.2           66.2614       -0.583045       0.00410554   0.271211     0.0022595   593.33      expPCA
0.1646   53647.7   0.791378        69.7553         3.15566       0.903466       0.244225    -0.202149     0.0236353     4.22229   salt2
0.1646   53638     3.96377        146.251         23.8244       -1.27776        0.0912387   -0.881317     0.0452217     2.22662   exp
0.1646   53641.7   1.65548       1999.41         261.67         -0.134185       0.0378875   -0.320383     0.0588585     5.17738   expPCA
0.148    53629.4   0.373368       128.415          1.71661       1.21556        0.200163    -0.338048     0.00870599    6.7838    salt2
0.148    53624.3   0.884375       211.896         16.6028       -1.02964        0.0561284   -1.04463      0.0333306     4.32223   exp
0.148    53628.1   0.221769      2924.49          34.9139       -0.0531303      0.0181256   -0.410247     0.00999329    7.58007   expPCA
0.2132   53635.5   0.462285        17.048          0.707352     -2.1218         0.491967    -0.15594      0.0378396     1.08765   salt2
0.2132   53634.3   1.64819          6.24143        2.6935        0.664611       0.872505    -0.254594     0.164134      0.858503  exp
0.2132   53632.9   2.23747        398.422         51.285         0.241558       0.104007    -0.316304     0.103873      0.956779  expPCA
0.153    53635.2   0.444212       102.391          1.43042       1.15276        0.185073    -0.260217     0.0110787     8.33873   salt2
0.153    53633.9   1.04074        146.699         12.7014       -0.94637        0.0525425   -0.931164     0.0442656     6.94399   exp
0.153    53634.8   0.358128      2283.9           25.6541       -0.0917939      0.016369    -0.295705     0.0110719     8.69864   expPCA
0.0983   53690.7   0.289078       126.203          3.12614       1.86747        0.267041    -0.039778     0.0185541    11.0204    salt2
0.0983   53687.3   0.56501        166.96          20.6062       -0.923397       0.0849419   -0.634092     0.063438      4.08374   exp
0.0983   53688.8   0.442728      2981.11          65.471        -0.131789       0.0674278   -0.100071     0.0209309    15.307     expPCA
0.314    53673.2   2.255           20.4644         1.52049       1.17285        0.824469    -0.334465     0.0457815     1.47132   salt2
0.314    53672     2.47695         21.2467         3.74634      -0.79169        0.124186    -0.842123     0.105038      1.66624   exp
0.314    53670.1   2.52971        532.967         54.1235       -0.267472       0.116058    -0.507638     0.0847386     1.77766   expPCA
0.1607   53646.6   0.472063        76.5645         3.48491      -1.06486        0.312242    -0.299176     0.0331542     1.69685   salt2
0.1607   53645.2   0.597423        52.4255         5.68659      -0.69124        0.113182    -0.480087     0.0608099     2.45795   exp
0.1607   53644.3   0.502999      1491.4           55.1515       -0.0194856      0.0267734   -0.251256     0.0303622     2.23989   expPCA
0.06283  53655.5   0.090393       610.8            3.76254       1.52194        0.0464328   -0.146949     0.00394266   31.4945    salt2
0.06283  53653.6   0.318675      1887.89          54.5315       -1.221          0.019936    -1.31785      0.0130387    33.6104    exp
0.06283  53657.1   0.0894569    12073.6           86.0969       -0.00184826     0.00353506  -0.166523     0.00374144   44.4336    expPCA
0.1795   53661.6   1.65098         49.1783         8.7025       -0.865719       0.957291    -0.495442     0.227975      1.28778   salt2
0.1795   53659.1   2.69243         39.9436        24.161        -0.513208       0.366514    -0.984416     0.564894      1.2596    exp
0.1795   53659.5   1.25939       1104.89         215.451         0.148874       0.072033    -0.646082     0.268619      1.2372    expPCA
0.2807   53669.2   0.689591        18.6872         0.730761     -1.77445        0.663678    -0.0801141    0.0508481     1.56378   salt2
0.2807   53668.7   1.31648         16.7184         5.48332      -0.548149       0.233153    -1.01319      0.513056      1.86083   exp
0.2807   53668.1   2.56534        506.693        208.195        -0.00704819     0.385338    -0.835726     0.755227      1.87919   expPCA
0.2166   53617.4   2.01384         37.8035         4.26005       0.314521       0.590684    -0.295749     0.0486194     4.6137    salt2
0.2166   53618.3   2.54658         27.3675         9.75839      -0.450512       0.359223    -0.688598     0.134256      4.52231   exp
0.2166   53617.1   1.87831        963.458         91.1393       -0.051404       0.100965    -0.539062     0.0679083     4.84779   expPCA
